,AG,AL,C,CS,CU,FG,HC,I,J,JD,L,M,MA,NI,OI,P,PB,PP,RB,RU,SF,SR,TA,V,Y,ZC
2012-04-09,,-3.149450564,0.147959783,,-1.311919705,,,,,,0.016876941,-0.090954428,-0.075152157,,-0.305898649,-0.093486213,,,-0.481249563,-0.011994044,,1.734378851,0.117482472,-0.525066498,-0.124313986,
2012-04-10,,-4.102535783,0.172086495,,-1.314366895,,,,,,-0.009489908,-0.11780733,-0.048092739,,-0.413911995,-0.114733883,,,-0.445613341,-0.012460095,,0.099862954,0.173124274,-0.511536445,-0.134572096,
2012-04-11,,-3.007507877,0.208823766,,-1.109086095,,,,,,0.012058546,-0.18298328,-0.076416487,,-0.578787879,-0.102286057,,,-0.450974927,-0.000185643,,0.543775548,0.127092299,-0.551072628,-0.163703115,
2012-04-12,,-2.036242623,0.16078287,,-0.713565212,,,,,,0.031826753,-0.214727962,-0.039885633,,-0.774276466,-0.093324251,,,-0.312313064,0.045866579,,0.426421478,0.240567454,-0.59831318,-0.194098381,
2012-04-13,,-3.5470521,0.303261664,,-1.131052556,,,,,,0.034071174,-0.357073481,-0.032192263,,-0.661017603,-0.122295437,,,-0.210279924,0.047020571,,0.303914173,0.068022322,-0.458796882,-0.2392959,
2012-04-16,,-2.861855612,0.130983486,,-1.154132847,,,,,,0.054759955,-0.29470838,-0.00960764,,-0.590917862,-0.081017509,,,-0.203362652,0.085241358,,0.745409377,0.013290485,-0.591173389,-0.182136969,
2012-04-17,,-1.967443496,0.268598065,,-0.64470539,,,,,,0.094582658,-0.277047281,-0.019019966,,-0.617038938,-0.091548767,,,0.004829789,0.100995905,,0.77352438,0.018851014,-0.776137761,-0.181844557,
2012-04-18,,-2.584666012,0.304261109,,-0.935703214,,,,,,0.083579956,-0.149759515,-0.002234169,,-0.456013625,-0.136247728,,,0.023763473,0.048678687,,0.647500911,0.02855613,-0.773695629,-0.237650877,
2012-04-19,,-1.600140415,0.226810851,,-0.764143621,,,,,,0.034251774,-0.076435423,0.003370475,,-0.274173357,-0.056525885,,,-0.003131251,0.0506391,,0.599316799,0.330509953,-0.565784885,-0.101319461,
2012-04-20,,-2.175823792,0.16526227,,-1.583323407,,,,,,0.042107616,-0.147514401,0.000700511,,-0.698246971,-0.178335826,,,0.114353686,0.104258299,,0.593607785,0.260517199,-0.763487099,-0.204002757,
2012-04-23,,-3.495217103,0.265983945,,-1.083189851,,,,,,0.023101736,-0.149530181,-0.017379164,,-0.837048504,-0.184884839,,,0.057548898,0.106114232,,0.249000472,0.043972455,-0.430960275,-0.193983384,
2012-04-24,,-2.553417818,0.254839114,,-0.746849557,,,,,,0.046596143,-0.14600926,0.012496711,,-0.358770302,-0.200427572,,,0.132507905,0.073190055,,0.326913059,0.05044721,-0.62221432,-0.195562179,
2012-04-25,,-1.422866968,0.330631396,,-0.8044628,,,,,,0.014689778,-0.140377472,9.38E-05,,-0.51103571,-0.132296029,,,0.194433346,-0.01248061,,0.361880483,-0.003951681,-0.663781057,-0.180378499,
2012-04-26,,-1.638506,0.266103557,,-0.927675755,,,,,,0.022747916,-0.160007556,0.004611492,,-0.473080943,-0.130976917,,,0.171746277,0.03914793,,0.403518756,-0.015251236,-1.250016601,-0.185768982,
2012-04-27,,-2.333801979,0.638718467,,-0.507957019,,,,,,0.042769916,-0.287818191,0.006825097,,-0.210952526,-0.112729679,,,0.169815329,0.172348834,,0.400634498,-0.087467449,-0.856008919,-0.164336365,
2012-05-02,,-1.59153056,0.634228188,,-0.59921383,,,,,,0.031932699,-0.126851556,-0.01305483,,-0.629136244,-0.299137986,,,0.372908341,0.079112087,,0.202405332,-0.296071424,-0.816753927,-0.258015001,
2012-05-03,,-1.933885508,0.581004185,,-0.526893428,,,,,,0.022570933,-0.116044972,-0.013349077,,-0.477781481,-0.252652417,,,0.204397411,0.074888613,,0.131666079,-0.311190892,-1.359078701,-0.1652697,
2012-05-04,,-1.63115915,0.543612952,,-0.925017945,,,,,,0.023014227,-0.07141554,-0.039868377,,-0.231395941,-0.286794933,,,0.237477942,0.030796191,,0.126414701,-0.02432209,-0.541183547,-0.185672788,
2012-05-07,,-2.902419642,0.529295938,,-1.006420979,,,,,,0.047073375,-0.074880777,-0.028171419,,-0.485931129,-0.359067579,,,0.185024426,0.186909149,,0.232371013,0.05571655,-0.680237189,-0.259792627,
2012-05-08,,-2.406644771,0.296638229,,-0.724418246,,,,,,0.033716664,-0.088912039,-0.01029358,,-0.306631487,-0.289398882,,,0.158354873,0.159757656,,0.287335011,0.077122675,-0.291658561,-0.194066583,
2012-05-09,,-2.575276078,0.514730084,,-1.100615919,,,,,,0.031331428,-0.097797248,0.025233216,,-0.307979729,-0.358097855,,,0.237128379,0.033049098,,0.137506923,0.159618762,-0.77735654,-0.240581906,
2012-05-10,,-1.270281444,0.354041413,,-0.831438431,,,,,,0.039006388,-0.107568823,0.011312634,,-0.236597789,-0.454549787,,,0.124029664,0.011078335,,0.128174845,0.124697537,-0.748741395,-0.207123552,
2012-05-11,,-1.4883699,0.308679226,,-0.672395121,,,,,,0.03006262,-0.110550688,0.064876363,,-0.244240715,-0.217502237,,,0.186969484,0.015872989,,0.186458944,0.196163945,-0.924532007,-0.180099521,
2012-05-14,,-1.611729871,0.317619358,,-0.565616374,,,,,,0.019480584,-0.057239984,0.012859073,,-0.124822957,-0.186136125,,,0.012463888,-0.019309257,,0.024869758,0.16700987,-0.460697241,-0.110650953,
2012-05-15,,-0.106462579,0.340885137,,-0.453705334,,,,,,0.024983331,-0.074650765,-0.000882246,,-0.051943016,-0.208015066,,,-0.007174876,-0.00259637,,-0.006171596,0.210280891,-0.409492626,-0.10191087,
2012-05-16,-0.012001803,0.002799291,0.358773391,,-0.549560268,,,,,,0.016831495,-0.041546039,-0.020186558,,-0.068286046,-0.300209462,,,0.015551025,0.011371368,,0.681486524,0.16966977,-0.398643319,-0.165398422,
2012-05-17,-0.043154604,0.182414152,0.52063332,,-0.651875654,,,,,,0.029663644,-0.017448317,-0.015321054,,-0.018992,-0.230413505,,,0.066338743,0.012499128,,0.700072919,0.317889463,-0.668060245,-0.125283402,
2012-05-18,-0.030800394,0.204543391,0.442348516,,-0.581136835,,,,,,0.041011354,-0.006132096,0,,-0.068606102,-0.214891195,,,-0.076785664,0.015018283,,0.712109438,0.139944593,-0.700342288,-0.153681929,
2012-05-21,0.027338431,0.774196626,0.729782344,,-0.6793805,,,,,,0.022999913,-0.002560971,0.00229123,,-0.059563656,-0.18413531,,,-0.014051415,0.020467428,,0.28384876,0.108038039,-0.408069096,-0.129707533,
2012-05-22,0.044429928,-0.190227739,0.413867634,,-1.057400276,,,,,,0.044414494,-0.011124791,0.005681031,,-0.11007895,-0.229060303,,,0.030166718,0.039535973,,0.270293409,0.040851513,-0.539434898,-0.176842971,
2012-05-23,0.028186759,0.741436115,0.907194366,,-1.554377651,,,,,,0.037067872,-0.025798504,-0.008566108,,-0.143547634,-0.24478525,,,0.028461533,0.020788832,,3.87233106,0.148000157,-0.678576184,-0.230058194,
2012-05-24,0.036438653,0.437702924,0.535342939,,-0.872424641,,,,,,0.033196399,-0.004016099,0.00658044,,-0.0815581,-0.219095703,,,0.018470026,0.043159237,,0.201487211,0.217208803,-0.475430019,-0.132693365,
2012-05-25,-0.001047743,0.253101859,0.967436996,,-1.312083657,,,,,,0.024549479,-0.002766137,0.003146539,,-0.063106933,-0.24528459,,,0.013074113,0.027451327,,0.250092555,0.147333967,-0.684136663,-0.139173432,
2012-05-28,0.026321965,0.694790509,0.252205712,,-1.242587275,,,,,,0.02855964,0.003153592,-0.018009348,,-0.08237144,-0.227015655,,,-0.02286805,0.025997303,,0.382209813,-0.189846994,-0.723070465,-0.193741551,
2012-05-29,0.038270518,0.34702346,0.397833988,,-1.408747044,,,,,,0.035765871,-0.011543661,0.025018671,,-0.09341883,-0.263325287,,,-0.099044572,0.004798645,,2.420104237,-0.337919419,-0.53928101,-0.193786868,
2012-05-30,0.013346905,0.724433788,0.530720978,,-2.200286305,,,,,,0.042690609,-0.01917023,0.018465264,,-0.020551823,-0.285616699,,,-0.127541575,0.016230212,,0.230906223,-0.165067225,-0.56691458,-0.177661147,
2012-05-31,-0.008869705,0.958866865,0.513217811,,-1.85768269,,,,,,0.026974894,-0.035322003,-0.009176889,,-0.025454591,-0.290983966,,,-0.138253069,0.00031696,,0.190300982,-0.317078252,-0.687215711,-0.200478033,
