Date,AP,CF,CY,FG,JR,LR,MA,OI,PM,RI,RM,RS,SF,SM,SR,TA,WH,ZC,A,AG,AL,AU,B,BB,BU,C,CS,CU,EG,FB,FU,HC,I,J,JD,JM,L,M,NI,P,PB,PP,RB,RU,SN,SP,V,WR,Y,ZN
2013-08-06,,125.56273332482054,,827.4430493997759,,,,225.74764672084623,,79.46068210127572,1318.54086019357,12.649110640673518,,,497.7187961088068,621.9951768301745,179.3599732381782,,357.5835566689274,1077.1870775311038,113.13708498984761,609.6589210370008,,,,358.8899552787734,,683.6490327646196,,,,,,738.0609730909771,,406.4627904249047,775.9523181227053,1412.0580724601946,,555.1954610765473,23.108440016582687,,1116.1075217020984,885.0242934518803,,,78.66384175718855,,727.5520599929603,189.55737917580524
2013-08-07,,149.54597955144098,,1039.4748674210455,,,,470.3488067381483,,74.76630257007497,1349.9370355686965,23.45207879911715,,,511.46260860399167,605.9537936179622,113.11940593903418,,652.243819441779,1030.7570033717936,139.7497763862254,633.0655574267171,6.782329983125268,,,406.6275937513341,,675.5782708169351,,,,,,820.2840971273306,,455.0933970076912,732.5134811046142,1398.497765461211,,695.9583320860525,22.090722034374522,,1391.50134746611,906.7105381542667,,,72.34638899074369,,914.6474730736427,205.4896591072164
2013-08-08,,181.76358271116908,,951.0531005154234,,,,386.4272247137875,,98.32598842625484,1233.176386410314,28.178005607210743,,,660.8343211425993,717.1052921294055,159.04716281656835,,464.81824404814404,1172.9518319180886,171.00292395160966,608.4455604242668,,,,433.7579970444349,,1041.5286841945353,,,,,,843.7855177709558,,573.372479283755,853.4916519802639,1360.1521973661625,,618.4189518441361,26.68332812825267,,1316.300117754306,1047.0472768695786,,,102.30347012687302,,865.1728151069011,333.93412524029344
2013-08-09,,177.2794404323299,,866.2713200839562,,,,521.1410557612977,,95.70788891204319,1110.2675353265086,17.88854381999832,,,574.6442377680298,969.5638194569763,109.07795377618706,,392.2626670994832,1489.361608206684,198.76619430879086,697.7721691211251,13.638181696985855,,,390.486875579705,,789.6872798772943,,,,,,863.2566246487773,,655.7530022805843,817.4240025837264,1417.9569810117655,,760.7640895836238,25.25866188063018,,1389.1925712441741,938.0149252543906,,,85.36978388165218,,924.2661954220764,304.1677168931641
2013-08-12,,155.44774041458436,,1115.763415783113,,,,422.55650509724734,,91.49863386958299,1071.2768082993302,25.019992006393608,,,698.5828512066411,757.3928967187373,109.76338187209795,,349.7027309015473,1848.5340137525195,193.52519215854042,688.8758959348193,,,,382.3349317025584,,826.5071082573943,,,,,,1021.6437735336128,,725.2833928886005,821.2697486209996,1154.2174838391593,,753.2011683474741,42.871902220452036,,1463.4302169902055,895.3691975939311,,,65.45227268781429,,919.2507818870757,417.518861849378
2013-08-13,,173.93677012063895,,1153.111443009738,,,,495.3867176257353,,101.13357503816425,1216.6914152734046,13.2664991614216,,,647.1305896030568,1021.2864436581933,150.93044755780724,,361.6351752802816,1664.1934983648987,182.90434658585892,589.5608535172599,5.830951894845301,,,408.75175840600366,,730.8200872991929,,,,,,1039.7663199007745,,724.1077267920845,958.0052191924635,1388.4444533361786,,961.0171694616075,28.42534080710379,,1461.6052818733244,901.7028335322009,,,130.0,,1185.8861665438214,324.8107141090023
2013-08-14,,199.11303322484946,,1156.7065314936197,,,,431.9583313237516,,98.39715443040006,1402.089868731673,7.0710678118654755,,,568.6967557494943,750.6623741736361,178.1796845883391,,353.4968175245712,2014.5083767510127,169.69973482595663,646.1702562018775,6.324555320336759,,,407.73520819276814,,794.4998426683293,,,2.449489742783178,,,1272.6138455949629,,787.6014220403617,932.7882932370024,1205.6856970205793,,915.1054584035656,18.384776310850235,,1355.5906461760496,892.3272942144042,,,137.36811857195977,,1019.1300211454866,307.8246253956951
2013-08-15,,162.76977606423128,,896.6593556083603,,,,394.595995924946,,66.76825593049439,1672.4778025432804,5.477225575051661,,,607.9325620494432,570.1438414996693,197.73719933285187,,339.6557080338854,1948.3531507403889,172.90459797240788,655.7667268167851,7.745966692414834,,,335.3296885156457,,745.5011737079963,,,,,,1117.6126341447648,,927.7025385326915,689.7144336607724,1848.3479109734726,,755.0615868920892,29.732137494637012,,1237.912759446319,889.351449090853,,,109.78160137290766,,946.1870850946973,305.49304411066385
2013-08-16,,188.45689162246097,,1175.7372155375538,,,,368.6814343033834,4.69041575982343,80.43631020876082,1511.6659683938115,32.58834147360065,,,747.3232232441328,765.6461323614193,124.93998559308385,,331.6504183624679,1874.0042689385741,193.68014869882768,841.3417854831649,17.944358444926362,,,396.6484589658707,,960.2187250829886,,,,,,1172.2226750920663,,990.7582954484914,794.2493311297152,1492.7491416845633,,774.9399976772395,,,589.2418858160034,1041.6237324485267,,,106.35788640246665,,995.7439429893611,385.88599352658554
2013-08-19,,159.80613254815975,,1277.468590611918,,,,306.95276509586944,,82.90958931269651,1352.522088544213,51.478150704935004,,,673.6349159596762,733.655232380987,134.8703080740902,,283.93661264444216,2264.886310612522,223.70516310536956,674.4390261543292,9.591663046625438,,,298.7072145094591,,685.0620409860701,,,,,,1197.8572535991088,,825.6912255801196,760.3078323942218,1280.3897844016094,,657.1301241002424,26.5329983228432,,1397.2429996246178,881.4578832820091,,,80.18728078691782,2.8284271247461903,868.8544181852332,379.66037454546137
